timestamp,ts_date,type_incident,sous_type,criticite,resume,action_recommandee,equipe_assignee,message_brut,source,,,,
30/11/2025 12:26:00,30/11/2025,Erreur API,Erreur 429,Élevée,Les clients ne peuvent plus finaliser de paiement en raison d'une erreur 429 sur l'endpoint /v1/charge.,Investiguer l'erreur et rétablir le service.,Équipe technique,"Bonjour équipe,

Depuis 14h32 UTC, nos clients ne peuvent plus finaliser de paiement.
L’endpoint /v1/charge renvoie une erreur 429 (rate_limit_exceeded).

Détails :
- 37 tentatives échouées
- Impact : transactions impossibles ~5 minutes
- JSON reçu : {""error"": ""rate_limit_exceeded""}

Pouvez-vous investiguer ?

Merci,
Support Client",Email,,,,"45991,51806"
03/10/2023 09:48:00,03/10/2023,problème de paiement,échec d'authentification 2FA,élevée,De nombreuses plaintes concernant des paiements refusés dus à une authentification 2FA échouée.,Analyser le problème rapidement.,Support Opérations,"Bonjour,

Nous recevons de nombreuses plaintes concernant des paiements refusés depuis 09h48 UTC. Tous les paiements nécessitant une authentification 2FA échouent : l’API renvoie systématiquement “2FA_REQUIRED_INVALID”.

Impact : transactions impossibles pour environ 30 % des clients.

Merci d’analyser le problème rapidement.

Bien à vous,
Support Opérations",email,,,,"45202,40833"
10/10/2023 10:12:00,10/10/2023,Incident technique,Erreur de passerelle,Élevée,Plusieurs clients ne peuvent plus initier de paiement en raison d'une erreur 502 sur l'endpoint /payments/init.,Investiguer l'erreur 502 et rétablir le service de paiement.,Équipe technique,"Bonjour équipe,

Depuis 10h12 UTC ce matin, plusieurs clients ne peuvent plus initier de paiement.
L’endpoint /payments/init renvoie une erreur 502 “Bad Gateway”.
Impact : paiements impossibles depuis environ 15 minutes.

Pouvez-vous investiguer ?

Merci,
Support Client",Email,,,,"45209,425"
10/10/2023 10:12:00,10/10/2023,Incident technique,Erreur de service,Élevée,Plusieurs clients ne peuvent plus initier de paiement en raison d'une erreur 502 sur l'endpoint /payments/init.,Investiguer l'erreur 502 et rétablir le service de paiement.,Équipe technique,"Depuis 10h12 UTC ce matin, plusieurs clients ne peuvent plus initier de paiement. L’endpoint /payments/init renvoie une erreur 502 “Bad Gateway”. Impact : paiements impossibles depuis environ 15 minutes.",Support Client,,,,"45209,425"
03/10/2023 09:48:00,03/10/2023,problème de paiement,échec d'authentification 2FA,élevée,De nombreuses plaintes concernant des paiements refusés dus à une erreur 2FA.,Analyser le problème rapidement.,Support Opérations,"Bonjour,

Nous recevons de nombreuses plaintes concernant des paiements refusés depuis 09h48 UTC. Tous les paiements nécessitant une authentification 2FA échouent : l’API renvoie systématiquement “2FA_REQUIRED_INVALID”.

Impact : transactions impossibles pour environ 30 % des clients.

Merci d’analyser le problème rapidement.

Bien à vous,
Support Opérations",email,,,,"45202,40833"
05/01/2024 09:12:00,05/01/2024,Problème de paiement,Carte refusée,Moyenne,Plusieurs paiements carte sont refusés sans raison apparente.,Vérifier le PSP et les règles de risque puis informer le support.,Équipe paiements,Le client signale que toutes ses cartes sont refusées depuis ce matin sur l'application mobile.,Email,,,,"45296,38333"
07/01/2024 15:43:00,07/01/2024,Incident technique,Erreur de passerelle,Élevée,Pic d'erreurs 502 détecté sur l'API principale.,Redémarrer les services impactés et analyser les logs serveur.,Équipe technique,Le monitoring détecte une hausse des erreurs 502 sur l'endpoint /v1/checkout.,Monitoring,,,,"45298,65486"
15/01/2024 11:05:00,15/01/2024,Erreur API,Timeout,Moyenne,Temps de réponse API fortement dégradé sur les paiements.,Augmenter le timeout côté client et optimiser les requêtes lentes.,Équipe technique,Plusieurs requêtes vers /v1/payments expirent après 30 secondes.,Monitoring,,,,"45306,46181"
20/01/2024 18:22:00,20/01/2024,Connexion / authentification,Échec 2FA,Faible,Des utilisateurs ne reçoivent pas le code 2FA par SMS.,Vérifier le fournisseur SMS et activer temporairement l'authentification par email.,Équipe support,Plusieurs tickets indiquent l'absence de réception du code 2FA SMS.,Email,,,,"45311,76528"
28/01/2024 08:57:00,28/01/2024,Suspicion de fraude,Transactions suspectes,Élevée,Série de petites transactions identiques sur plusieurs comptes.,Bloquer les comptes concernés et lancer une analyse de fraude.,Équipe fraude,L'outil de scoring remonte un cluster de transactions atypiques sur 12 comptes.,Monitoring,,,,"45319,37292"
03/02/2024 10:18:00,03/02/2024,Problème de paiement,Refus 3D Secure,Moyenne,Les paiements échouent au moment du challenge 3D Secure.,Contacter le partenaire 3DS et analyser les journaux d'authentification.,Équipe paiements,Les clients rapportent un message d'erreur après validation 3D Secure.,Email,,,,"45325,42917"
09/02/2024 14:39:00,09/02/2024,Incident technique,Déploiement raté,Élevée,Le dernier déploiement provoque des erreurs sur l'espace client.,Effectuer un rollback et ouvrir un incident post-mortem.,Équipe technique,"Après mise en production, plusieurs écrans affichent une erreur générique.",Slack,,,,"45331,61042"
16/02/2024 19:02:00,16/02/2024,Erreur API,Erreur 500,Élevée,L'API de consultation de solde renvoie des erreurs 500.,Passer en mode dégradé et corriger la cause côté base de données.,Équipe technique,Les requêtes GET /v1/balance échouent depuis 10 minutes.,Monitoring,,,,"45338,79306"
22/02/2024 09:47:00,22/02/2024,Connexion / authentification,Mot de passe invalide,Faible,Hausse anormale de tentatives de login échouées.,Vérifier une éventuelle attaque par force brute et renforcer la protection.,Équipe sécurité,Le monitoring signale une augmentation des codes 401 sur /login.,Monitoring,,,,"45344,40764"
01/03/2024 13:31:00,01/03/2024,Problème de paiement,Remboursement en échec,Moyenne,Certains remboursements ne sont pas exécutés côté banque.,Analyser les callbacks bancaires et relancer les opérations bloquées.,Équipe paiements,Les commerçants signalent des remboursements en attente depuis plus de 48h.,Email,,,,"45352,56319"
07/03/2024 16:14:00,07/03/2024,Webhook / intégration,Webhook non délivré,Moyenne,Des webhooks vers les marchands expirent par timeout.,"Réduire la charge, mettre en file les tentatives et prévenir les marchands impactés.",Équipe technique,Le taux d'erreur sur l'envoi de webhooks dépasse 10% sur l'heure écoulée.,Monitoring,,,,"45358,67639"
12/03/2024 07:55:00,12/03/2024,Incident technique,Base de données lente,Élevée,Les temps de réponse explosent sur plusieurs tables critiques.,Identifier les requêtes lentes et ajouter des index si nécessaire.,Équipe technique,L'outil APM remonte des requêtes SQL supérieures à 5 secondes.,Monitoring,,,,"45363,32986"
18/03/2024 20:21:00,18/03/2024,Suspicion de fraude,Compte compromis,Élevée,Connexion depuis plusieurs pays en quelques minutes sur un même compte.,Forcer la réinitialisation du mot de passe et vérifier les mouvements.,Équipe fraude,Un client signale des opérations qu'il n'a pas initiées.,Email,,,,"45369,84792"
25/03/2024 10:06:00,25/03/2024,Erreur API,Erreur 400,Faible,Augmentation des erreurs 400 sur l'API de création de client.,Vérifier les changements récents côté front et mettre à jour la documentation.,Équipe technique,Le ratio d'erreurs 400 sur /v1/customers dépasse le seuil habituel.,Monitoring,,,,"45376,42083"
02/04/2024 09:33:00,02/04/2024,Problème de paiement,Double débit,Élevée,Quelques clients indiquent avoir été débités deux fois.,Vérifier l'idempotence des paiements et rembourser les doublons.,Équipe paiements,Deux tickets confirment un double débit sur la même transaction.,Email,,,,"45384,39792"
08/04/2024 12:49:00,08/04/2024,Incident technique,Service indisponible,Élevée,L'application web renvoie une page d'erreur pour tous les utilisateurs.,Basculer sur l'infrastructure de secours et investiguer l'origine.,Équipe technique,Les tests de disponibilité échouent sur l'URL principale.,Monitoring,,,,"45390,53403"
15/04/2024 18:57:00,15/04/2024,Connexion / authentification,Bloquage de compte,Moyenne,Des clients sont bloqués après plusieurs tentatives de connexion.,Adapter les règles de lockout et aider les utilisateurs impactés.,Équipe support,Les tickets support mentionnent des comptes soudainement verrouillés.,Email,,,,"45397,78958"
22/04/2024 08:41:00,22/04/2024,Erreur API,Erreur 503,Élevée,L'API de paiement ne répond plus pendant un pic de charge.,Ajouter temporairement de la capacité et optimiser la mise en cache.,Équipe technique,Pic d'erreurs 503 sur /v1/charge pendant la campagne marketing.,Monitoring,,,,"45404,36181"
29/04/2024 15:20:00,29/04/2024,Suspicion de fraude,Cartes testées en masse,Moyenne,Multiples échecs de petits montants sur des cartes différentes.,Bloquer les BIN ciblés et renforcer le filtre anti-fraude.,Équipe fraude,L'outil fraude détecte une campagne probable de card testing.,Monitoring,,,,"45411,63889"
05/05/2024 11:11:00,05/05/2024,Problème de paiement,Devise non supportée,Faible,Un marchand tente des paiements dans une devise non activée.,Mettre à jour la configuration de devises ou informer le marchand.,Équipe paiements,Le marchand signale des refus systématiques pour une nouvelle devise.,Email,,,,"45417,46597"
10/05/2024 17:36:00,10/05/2024,Incident technique,Bug d'affichage,Faible,Certains soldes affichés ne se rafraîchissent pas correctement.,Corriger le bug front et ajouter des tests automatisés.,Équipe technique,Le support reçoit des captures d'écran de soldes incohérents.,Slack,,,,"45422,73333"
18/05/2024 09:24:00,18/05/2024,Erreur API,Limite de taux atteinte,Moyenne,Des partenaires dépassent la limite de requêtes autorisée.,Ajuster les limites ou accompagner les partenaires sur le batching.,Équipe technique,Messages d'erreur rate_limit_exceeded observés sur plusieurs clés API.,Monitoring,,,,"45430,39167"
23/05/2024 14:58:00,23/05/2024,Connexion / authentification,SSO en panne,Élevée,L'authentification SSO ne fonctionne plus pour les employés.,Basculer temporairement sur le login local et investiguer l'IdP.,Équipe technique,Les employés ne peuvent plus se connecter via SSO interne.,Slack,,,,"45435,62361"
01/06/2024 08:05:00,01/06/2024,Problème de paiement,Plafond dépassé,Faible,Des paiements sont refusés pour dépassement de plafond quotidien.,Informer les clients des limites et revoir le paramétrage si besoin.,Équipe support,Plusieurs demandes au support sur des plafonds jugés trop bas.,Email,,,,"45444,33681"
07/06/2024 19:19:00,07/06/2024,Incident technique,Tâche planifiée bloquée,Moyenne,Les exports quotidiens ne sont plus générés.,Relancer le scheduler et vérifier l'espace disque.,Équipe technique,L'export journalier vers les partenaires n'a pas été produit cette nuit.,Monitoring,,,,"45450,80486"
12/06/2024 10:44:00,12/06/2024,Erreur API,Schéma invalide,Moyenne,Des intégrateurs reçoivent des erreurs de validation de schéma.,Mettre à jour la documentation et assouplir la validation si possible.,Équipe technique,"Nouveaux clients API remontent des erreurs ""invalid_schema"" lors des tests.",Email,,,,"45455,44722"
20/06/2024 16:27:00,20/06/2024,Suspicion de fraude,IP suspectes,Moyenne,Plusieurs connexions proviennent de plages IP à risque.,Renforcer le challenge 2FA pour ces IP et surveiller les comptes.,Équipe fraude,Les logs montrent des connexions répétées depuis une même plage IP étrangère.,Monitoring,,,,"45463,68542"
02/07/2024 09:59:00,02/07/2024,Problème de paiement,Paiement partiellement capturé,Moyenne,Montant capturé inférieur au montant autorisé sur certaines transactions.,Analyser les journaux de capture et corriger le flux.,Équipe paiements,Un marchand remonte des écarts entre autorisation et capture.,Email,,,,"45475,41597"
09/07/2024 13:13:00,09/07/2024,Incident technique,Cluster dégradé,Élevée,Un nœud du cluster de base de données est hors ligne.,"Retirer le nœud, rééquilibrer la charge et planifier la réparation.",Équipe technique,Alertes sur un nœud de base de données non joignable.,Monitoring,,,,"45482,55069"
15/07/2024 18:46:00,15/07/2024,Erreur API,Certificat expiré,Élevée,Un certificat TLS a expiré sur une API partenaire.,Renouveler le certificat et ajouter des alertes proactives.,Équipe technique,Les appels vers un partenaire échouent pour cause de certificat invalide.,Monitoring,,,,"45488,78194"
22/07/2024 07:52:00,22/07/2024,Connexion / authentification,Lien de reset expiré,Faible,Les liens de réinitialisation de mot de passe expirent trop vite.,Allonger la durée de validité et mettre à jour le message utilisateur.,Équipe support,Plusieurs clients indiquent que le lien de reset ne fonctionne plus.,Email,,,,"45495,32778"
29/07/2024 20:03:00,29/07/2024,Suspicion de fraude,Chargebacks en hausse,Moyenne,Hausse des rétrofacturations sur un marchand spécifique.,Analyser le marchand et adapter les règles de risque.,Équipe fraude,Le taux de chargeback dépasse le seuil contrat sur un seul marchand.,Monitoring,,,,"45502,83542"
05/08/2024 09:26:00,05/08/2024,Problème de paiement,Carte virtuelle refusée,Moyenne,Des cartes virtuelles sont refusées chez certains marchands.,Vérifier la configuration BIN et accepter ces cartes.,Équipe paiements,Les utilisateurs signalent que leurs cartes virtuelles ne passent pas.,Email,,,,"45509,39306"
13/08/2024 15:54:00,13/08/2024,Incident technique,Queue de messages pleine,Élevée,La file de messages atteint sa capacité maximale.,Augmenter la taille de la queue et purger les messages obsolètes.,Équipe technique,Le broker de messages remonte des erreurs de saturation.,Monitoring,,,,"45517,6625"
19/08/2024 11:37:00,19/08/2024,Erreur API,Endpoint obsolète,Faible,Des intégrations utilisent toujours un endpoint déprécié.,Communiquer une date de coupure et proposer la nouvelle version.,Équipe technique,Les logs montrent des appels fréquents à /v1/legacy_payments.,Monitoring,,,,"45523,48403"
26/08/2024 17:08:00,26/08/2024,Connexion / authentification,Session expirée trop vite,Faible,Les utilisateurs sont déconnectés après quelques minutes.,Ajuster la durée de session et vérifier les réglages de cookie.,Équipe support,De nombreux retours sur des déconnexions intempestives.,Email,,,,"45530,71389"
03/09/2024 10:02:00,03/09/2024,Problème de paiement,IBAN invalide,Faible,Des virements échouent pour cause d'IBAN mal formaté.,Améliorer la validation en amont dans l'interface utilisateur.,Équipe support,Les utilisateurs reçoivent des messages d'erreur IBAN invalid sans détail.,Email,,,,"45538,41806"
09/09/2024 19:29:00,09/09/2024,Incident technique,Index manquant,Moyenne,Rapports lents à cause d'un index absent sur une table volumineuse.,Ajouter l'index et recompiler les requêtes.,Équipe technique,Les rapports back-office mettent plusieurs minutes à s'afficher.,Monitoring,,,,"45544,81181"
16/09/2024 08:48:00,16/09/2024,Erreur API,Erreur 401,Moyenne,Des clés API ont été désactivées sans communication.,Identifier les clients impactés et réactiver les accès légitimes.,Équipe technique,Plusieurs partenaires signalent un passage soudain en 401 sur leurs appels.,Email,,,,"45551,36667"
23/09/2024 14:11:00,23/09/2024,Suspicion de fraude,Connexion TOR,Faible,Connexion à l'espace client via le réseau TOR.,Appliquer une vérification renforcée et monitorer le compte.,Équipe fraude,Une session utilisateur est détectée via un relais TOR.,Monitoring,,,,"45558,59097"
30/09/2024 12:57:00,30/09/2024,Problème de paiement,Retrait ATM refusé,Moyenne,Des retraits au distributeur échouent pour plusieurs clients.,Contacter le réseau de cartes et analyser les codes de refus.,Équipe paiements,Tickets multiples concernant des retraits refusés sans motif clair.,Email,,,,"45565,53958"
07/10/2024 09:40:00,07/10/2024,Incident technique,Latence réseau,Moyenne,Augmentation de la latence entre services internes.,Travailler avec l'équipe infra pour identifier le segment problématique.,Équipe technique,Les métriques réseau montrent un allongement des temps de transit.,Monitoring,,,,"45572,40278"
15/10/2024 18:18:00,15/10/2024,Erreur API,Payload trop volumineux,Faible,Certaines requêtes dépassent la taille maximale autorisée.,Documenter la limite et proposer une pagination adaptée.,Équipe technique,"Erreurs ""payload_too_large"" observées sur /v1/export.",Monitoring,,,,"45580,7625"
21/10/2024 07:59:00,21/10/2024,Connexion / authentification,Captcha défaillant,Faible,Le captcha ne s'affiche plus sur la page de login.,Désactiver temporairement le captcha et réparer l'intégration.,Équipe technique,Les utilisateurs ne voient plus le captcha et ne peuvent pas valider le formulaire.,Email,,,,"45586,33264"
28/10/2024 16:33:00,28/10/2024,Suspicion de fraude,Device inconnu,Moyenne,Connexion depuis un nouvel appareil sur un compte sensible.,Demander une vérification supplémentaire avant d'autoriser les opérations.,Équipe fraude,Alerte générée pour un appareil non reconnu sur un gros compte.,Monitoring,,,,"45593,68958"
04/11/2024 11:22:00,04/11/2024,Problème de paiement,Paiement en double tentative,Faible,Les utilisateurs cliquent deux fois sur le bouton payer.,Améliorer le design du bouton et bloquer les doubles clics.,Équipe produit,Support signale des tentatives multiples sur une même commande.,Slack,,,,"45600,47361"
12/11/2024 13:47:00,12/11/2024,Incident technique,Erreur de configuration,Moyenne,Un paramètre de configuration erroné en production.,Corriger la configuration et ajouter un contrôle en CI.,Équipe technique,"Après un changement de config, certains services ne démarrent plus.",Monitoring,,,,"45608,57431"
19/11/2024 19:05:00,19/11/2024,Erreur API,Dépendance tierce en panne,Élevée,Un fournisseur externe critique ne répond plus.,Basculer sur un fournisseur de secours si possible et communiquer aux clients.,Équipe technique,Les appels vers le prestataire KYC échouent systématiquement.,Monitoring,,,,"45615,79514"
26/11/2024 08:30:00,26/11/2024,Connexion / authentification,Email de confirmation non reçu,Faible,Les emails de confirmation de création de compte arrivent avec retard.,Vérifier la file d'envoi et le fournisseur SMTP.,Équipe support,Plusieurs nouveaux clients attendent leur mail d'activation.,Email,,,,"45622,35417"
03/12/2024 10:51:00,03/12/2024,Suspicion de fraude,VPN détecté,Faible,Connexion à haut risque via VPN sur plusieurs comptes.,Surveiller les opérations et augmenter le scoring de risque.,Équipe fraude,"Le moteur fraude marque certaines sessions comme ""VPN suspect"".",Monitoring,,,,"45629,45208"
11/12/2024 17:39:00,11/12/2024,Problème de paiement,Expiration de carte,Moyenne,De nombreux paiements échouent pour cartes arrivées à expiration.,Lancer une campagne proactive de mise à jour de carte.,Équipe marketing,"Hausse d'échecs de paiement avec motif ""card_expired"".",Monitoring,,,,"45637,73542"
18/12/2024 09:16:00,18/12/2024,Incident technique,Processus zombie,Moyenne,Des processus restent bloqués et consomment de la mémoire.,Nettoyer les processus et investiguer les causes.,Équipe technique,Les métriques système montrent une saturation mémoire ponctuelle.,Monitoring,,,,"45644,38611"
06/01/2025 11:03:00,06/01/2025,Erreur API,Mauvais mapping de champ,Moyenne,Un champ de réponse ne correspond plus à la documentation.,Corriger le mapping et communiquer aux intégrateurs.,Équipe technique,Un partenaire signale une rupture de contrat d'API sur un champ JSON.,Email,,,,"45663,46042"
14/01/2025 15:32:00,14/01/2025,Connexion / authentification,Jeton expiré,Faible,Les jetons d'accès expirent plus tôt que prévu.,Allonger la durée ou activer le rafraîchissement automatique.,Équipe technique,Les applications mobiles doivent se reconnecter trop souvent.,Monitoring,,,,"45671,64722"
22/01/2025 08:27:00,22/01/2025,Suspicion de fraude,Montants arrondis suspects,Moyenne,Série d'opérations avec des montants parfaitement arrondis.,Analyser le marchand et la typologie des transactions.,Équipe fraude,Le moteur de règles déclenche des alertes sur des montants atypiques.,Monitoring,,,,"45679,35208"
03/02/2025 09:44:00,03/02/2025,Problème de paiement,Erreur de référence,Faible,Des paiements ne sont pas associés à la bonne commande.,Corriger la génération d'identifiants de transaction.,Équipe produit,Support signale des écarts entre références de commande et de paiement.,Email,,,,"45691,40556"
11/02/2025 18:12:00,11/02/2025,Incident technique,Job de nettoyage inactif,Moyenne,Les anciens logs ne sont plus purgés automatiquement.,Relancer le job de nettoyage et vérifier la planification.,Équipe technique,La taille des logs disques augmente beaucoup plus vite que prévu.,Monitoring,,,,"45699,75833"
05/10/2023 12:00:00,Incident technique,Problème de base de données,élevée,Défaillance de l'infrastructure de base de données provoquant des perturbations opérationnelles.,L'équipe technique doit enquêter et résoudre le problème rapidement.,Technique,"Objet : Incident technique - Problème de base de données
Corps : Une erreur de connexion à la base de données a été détectée, entraînant des retards et des échecs dans le traitement des transactions. Sévérité : élevée. Résumé : Défaillance de l'infrastructure de base de données provoquant des perturbations opérationnelles. Action recommandée : l'équipe technique doit enquêter et résoudre le problème rapidement. Équipe assignée : Technique.",email,,,,,
05/10/2023 00:00:00,Erreur API,Mauvais format de données,Moyenne,Erreur dans l'API de paiement lors d'une transaction d'un client due à un format de données incorrect.,Vérifier la documentation de l'API et mettre à jour le code client.,Technique,"Nous avons détecté une erreur dans l'API de paiement lors d'une transaction d'un client. Les données transmises ne sont pas dans le format attendu, ce qui provoque un échec de la transaction. Cet incident a un impact moyen sur nos services.

L'équipe Technique est en charge de résoudre ce problème. Nous recommandons de vérifier la documentation de l'API et de mettre à jour le code client pour envoyer les données dans le bon format.

Équipe assignée : Technique",Email,,,,,
03/10/2023 09:48:00,problème de paiement,échec d'authentification 2FA,élevée,De nombreuses plaintes concernant des paiements refusés dus à une erreur 2FA.,Analyser le problème rapidement.,Support Opérations,Nous recevons de nombreuses plaintes concernant des paiements refusés depuis 09h48 UTC. Tous les paiements nécessitant une authentification 2FA échouent : l’API renvoie systématiquement “2FA_REQUIRED_INVALID”. Impact : transactions impossibles pour environ 30 % des clients. Merci d’analyser le problème rapidement.,email,,,,,
09h48 UTC,paiements refusés,authentification 2FA,élevée,Tous les paiements nécessitant une authentification 2FA échouent avec l'erreur '2FA_REQUIRED_INVALID'.,Analyser le problème rapidement.,Support Opérations,Nous recevons de nombreuses plaintes concernant des paiements refusés depuis 09h48 UTC. Tous les paiements nécessitant une authentification 2FA échouent : l’API renvoie systématiquement “2FA_REQUIRED_INVALID”. Impact : transactions impossibles pour environ 30 % des clients. Merci d’analyser le problème rapidement.,email,,,,,
"45202,40833",problème de paiement,échec d'authentification 2FA,élevée,De nombreuses plaintes concernant des paiements refusés dus à une erreur 2FA.,Analyser le problème rapidement.,Support Opérations,"Bonjour,

Nous recevons de nombreuses plaintes concernant des paiements refusés depuis 09h48 UTC. Tous les paiements nécessitant une authentification 2FA échouent : l’API renvoie systématiquement “2FA_REQUIRED_INVALID”.

Impact : transactions impossibles pour environ 30 % des clients.

Merci d’analyser le problème rapidement.

Bien à vous,
Support Opérations",email,,,,,
"45202,40833",problème de paiement,échec d'authentification 2FA,élevée,De nombreuses plaintes concernant des paiements refusés dus à une erreur 2FA.,Analyser le problème rapidement.,Support Opérations,Nous recevons de nombreuses plaintes concernant des paiements refusés depuis 09h48 UTC. Tous les paiements nécessitant une authentification 2FA échouent : l’API renvoie systématiquement “2FA_REQUIRED_INVALID”. Impact : transactions impossibles pour environ 30 % des clients. Merci d’analyser le problème rapidement.,email,,,,,
09h48 UTC,paiements refusés,authentification 2FA,élevée,Tous les paiements nécessitant une authentification 2FA échouent avec l'erreur '2FA_REQUIRED_INVALID'.,Analyser le problème rapidement.,Support Opérations,Nous recevons de nombreuses plaintes concernant des paiements refusés depuis 09h48 UTC. Tous les paiements nécessitant une authentification 2FA échouent : l’API renvoie systématiquement “2FA_REQUIRED_INVALID”. Impact : transactions impossibles pour environ 30 % des clients. Merci d’analyser le problème rapidement.,email,,,,,
"45202,40833",problème de paiement,échec d'authentification 2FA,élevée,De nombreuses plaintes concernant des paiements refusés dus à une erreur 2FA.,Analyser le problème rapidement.,Support Opérations,Nous recevons de nombreuses plaintes concernant des paiements refusés depuis 09h48 UTC. Tous les paiements nécessitant une authentification 2FA échouent : l’API renvoie systématiquement “2FA_REQUIRED_INVALID”. Impact : transactions impossibles pour environ 30 % des clients. Merci d’analyser le problème rapidement.,email,,,,,
"45202,40833",problème de paiement,échec d'authentification 2FA,élevée,De nombreuses plaintes concernant des paiements refusés dus à une erreur 2FA.,Analyser le problème rapidement.,Support Opérations,Nous recevons de nombreuses plaintes concernant des paiements refusés depuis 09h48 UTC. Tous les paiements nécessitant une authentification 2FA échouent : l’API renvoie systématiquement “2FA_REQUIRED_INVALID”. Impact : transactions impossibles pour environ 30 % des clients. Merci d’analyser le problème rapidement.,email,,,,,